Name,Link,Category,Section,On server,Note,ModID,Availability,Server version
Adventurer's Walking Stick,https://mods.vintagestory.at/show/mod/34545,Utility,1.22,yes,available for 1.22 (installs on update),walkingstick,available,3.0.9
Papiers Peints,https://mods.vintagestory.at/show/mod/40762XXX,Cosmetics,1.21,yes,no 1.22 build yet — 1.21 build likely works (installs),papierspeints,likely,1.0.1
Salty´s Bird´s Eye,https://mods.vintagestory.at/birdseye,QoL,optional,no,available for 1.22 (installs on update),birdseye,available,0.1.4
AE Titanium Tools Reborn,https://mods.vintagestory.at/aetstoolsreborn,Crafting,1.22,yes,available for 1.22 (installs on update),aetstoolsreborn,available,3.1.2
Natural Foliage,https://mods.vintagestory.at/naturalfoliage,Cosmetics,optional,no,available for 1.22 (installs on update),naturalfoliage,available,0.0.4
Alchemy,https://mods.vintagestory.at/alchemy,Magic,1.22,yes,available for 1.22 (installs on update),alchemy,available,2.0.34
Player Corpse,https://mods.vintagestory.at/playercorpse,Utility,1.21,yes,no 1.22 build yet — 1.21 build likely works (installs),playercorpse,likely,1.12.0
Coriaender Shaders,https://mods.vintagestory.at/coriaendershaders,Graphics,optional,no,available for 1.22 (installs on update),coriaendershaders,available,1.2.0
All Classes,https://mods.vintagestory.at/allclasses,Cosmetics,1.22,yes,available for 1.22 (installs on update),allclasses,available,2.3.0
Quivers And Sheaths,https://mods.vintagestory.at/quiversandsheaths,Weapons,1.21,no,no 1.22 build yet — 1.21 build likely works (installs),quiversandsheaths,likely,
Status Hud Continued,https://mods.vintagestory.at/statushudcont,Utility,optional,no,available for 1.22 (installs on update),statushudcont,available,4.3.1
Animal cages,https://mods.vintagestory.at/animalcages,Utility,1.22,yes,available for 1.22 (installs on update),animalcages,available,5.0.0
Real Grapes,https://mods.vintagestory.at/realgrapes,Worldgen,1.21,no,available for 1.22 (installs on update),realgrapes,available,1.4.0
Auto Map Markers,https://mods.vintagestory.at/automapmarkers,QoL,1.22,yes,available for 1.22 (installs on update),automapmarkers,available,5.0.3
Salty & Proto's Temporal Symphony,https://mods.vintagestory.at/temporalsymphony,Cosmetics,1.21,yes,available for 1.22 (installs on update),temporalsymphony,available,2.3.2
Better Arrows,https://mods.vintagestory.at/betterarrowsmod,Tweak,1.22,yes,available for 1.22 (installs on update),betterarrowsmod,available,1.0.1
Sammiches,https://mods.vintagestory.at/sammiches,Food,1.21,yes,available for 1.22 (installs on update),sammiches,available,1.3.0
Better Sticks,https://mods.vintagestory.at/show/mod/8859,Utility,1.22,yes,available for 1.22 (installs on update),bettersticks,available,1.2.1
Stone Quarry,https://mods.vintagestory.at/stonequarry,Utility,1.21,no,no 1.22 build yet — 1.21 build likely works (installs),stonequarry,likely,
BetterEr Prospecting,https://mods.vintagestory.at/bettererprospecting,QoL,1.22,yes,available for 1.22 (installs on update),bettererprospecting,available,3.3.3
Storage Options,https://mods.vintagestory.at/storageoptions,Storage,1.21,no,no 1.22 build yet — 1.21 build likely works (installs),storageoptions,likely,
BetterRuins,https://mods.vintagestory.at/betterruins,Worldgen,1.22,yes,available for 1.22 (installs on update),betterruins,available,0.6.3
Firearms,https://mods.vintagestory.at/firearms,Weapons,1.21,no,no 1.22 build yet — 1.21 build likely works (installs),firearms,likely,
Blood Trail,https://mods.vintagestory.at/bloodtrail,Other,1.22,yes,available for 1.22 (installs on update),bloodtrail,available,1.2.4
Bola,https://mods.vintagestory.at/bola,Weapons,1.22,yes,available for 1.22 (installs on update),bola,available,1.4.1
Bricklayers,https://mods.vintagestory.at/bricklayers,Cosmetics,1.22,yes,available for 1.22 (installs on update),bricklayers,available,3.2.2
Crossbows,https://mods.vintagestory.at/crossbows,Weapons,1.21,no,no 1.22 build yet — 1.21 build likely works (installs),crossbows,likely,
Butchering,https://mods.vintagestory.at/butchering,Crafting,1.22,yes,available for 1.22 (installs on update),butchering,available,1.13.5
Instruments,https://mods.vintagestory.at/show/mod/463,Technology,1.21,yes,no 1.22 build yet — 1.21 build likely works (installs),instruments,likely,2.0.7
Buzzwords,https://mods.vintagestory.at/buzzwords,QOL,1.22,yes,available for 1.22 (installs on update),buzzwords,available,1.8.2
C&N Jewelry,https://mods.vintagestory.at/canjewelry,Utility,1.22,yes,available for 1.22 (installs on update),canjewelry,available,0.6.17
Scaffolding,https://mods.vintagestory.at/scafolding,QoL,1.21,yes,available for 1.22 (installs on update),scafolding,available,1.3.1
Carry On,https://mods.vintagestory.at/carryon,Storage,1.22,yes,available for 1.22 (installs on update),carryon,available,1.14.2
Coinage,https://mods.vintagestory.at/coinage,Utility,1.22,yes,available for 1.22 (installs on update),coinage,available,2.1.10
Darce's Drifters Redone,https://mods.vintagestory.at/darcesdriftersredone,Creatures,1.22,yes,available for 1.22 (installs on update),darcesdriftersredone,available,1.3.0
Diverse Diets,https://mods.vintagestory.at/diversediets,Utility,1.22,yes,available for 1.22 (installs on update),diversediets,available,1.0.4
The Art of Pies,https://mods.vintagestory.at/theartofpies,Cosmetics,1.21,yes,no 1.22 build yet — 1.21 build likely works (installs),theartofpies,likely,2.1.0
Electrical Progressive: Basics,https://mods.vintagestory.at/electricalprogressivebasics,Technology,1.22,yes,available for 1.22 (installs on update),electricalprogressivebasics,available,3.2.5
Better Loot,https://mods.vintagestory.at/betterloot,QoL,1.21,yes,available for 1.22 (installs on update),betterloot,available,2.0.2
Fauna of the Stone Age: Pantherinae,https://mods.vintagestory.at/pantherinae,Crafting,1.22,yes,available for 1.22 (installs on update),pantherinae,available,1.2.14
Food Shelves,https://mods.vintagestory.at/foodshelves,Storage,1.22,yes,available for 1.22 (installs on update),foodshelves,available,3.0.4
Combat Overhaul,https://mods.vintagestory.at/combatoverhaul,Weapons,1.21,no,no 1.22 build yet — 1.21 build likely works (installs),combatoverhaul,likely,
Footprints,https://mods.vintagestory.at/footprints,Other,1.22,yes,available for 1.22 (installs on update),footprints,available,1.2.4
Combat Overhaul: Armory,https://mods.vintagestory.at/armory,Weapons,1.21,no,no 1.22 build yet — 1.21 build likely works (installs),armory,likely,
Forgotten Armory: Gothic style,https://mods.vintagestory.at/show/mod/25580,Cosmetics,1.22,yes,available for 1.22 (installs on update),fagothic,available,1.3.4
Combat Overhaul: Reanimated,https://mods.vintagestory.at/combatoverhaulreanimated,Weapons,1.21,no,"outdated — no 1.22 or 1.21 build, won't be installed",combatoverhaulreanimated,outdated,
Forgotten Armory: Landsknechts,https://mods.vintagestory.at/show/mod/27605,Cosmetics,1.22,yes,available for 1.22 (installs on update),falandsknecht,available,1.2.5
Forgotten Armory: Templar Style,https://mods.vintagestory.at/show/mod/26077,Cosmetics,1.22,yes,available for 1.22 (installs on update),fatemplar,available,1.4.6
Gourmand,https://mods.vintagestory.at/show/mod/14390,Other,1.22,yes,available for 1.22 (installs on update),gourmand,available,1.8.12
Immersive Fibercraft,https://mods.vintagestory.at/show/mod/34327,Crafting,1.22,yes,available for 1.22 (installs on update),hpspinningwheel,available,1.2.11
Millwright,https://mods.vintagestory.at/millwright,QoL,1.22,yes,available for 1.22 (installs on update),millwright,available,1.3.3
NDL Wooden Torch Holders,https://mods.vintagestory.at/ndlwoodentorchholders,Utility,1.22,yes,available for 1.22 (installs on update),ndlwoodentorchholders,available,3.0.2
Notice Board,https://mods.vintagestory.at/noticeboard,Utility,1.22,yes,available for 1.22 (installs on update),noticeboard,available,2.0.2
Place On Slabs,https://mods.vintagestory.at/show/mod/38090,QoL,1.22,yes,available for 1.22 (installs on update),placeonslabs,available,1.1.3
ProspectTogether,https://mods.vintagestory.at/prospecttogether,Other,1.22,yes,available for 1.22 (installs on update),prospecttogether,available,2.2.1
QP's Chisel Tools,https://mods.vintagestory.at/chiseltools,Utility,1.22,yes,available for 1.22 (installs on update),chiseltools,available,1.17.3
Real Smoke,https://mods.vintagestory.at/realsmoke,Graphics,1.22,yes,available for 1.22 (installs on update),realsmoke,available,1.3.1
Scarecrow,https://mods.vintagestory.at/scarecrow,QoL,1.22,yes,available for 1.22 (installs on update),scarecrow,available,1.8.2
Shelf Obsessed,https://mods.vintagestory.at/shelfobsessed,Storage,1.22,yes,available for 1.22 (installs on update),shelfobsessed,available,2.1.5
Smithing Plus,https://mods.vintagestory.at/smithingplus,Crafting,1.22,yes,available for 1.22 (installs on update),smithingplus,available,1.8.7
Sortable Storage,https://mods.vintagestory.at/sortablestorage,QoL,1.22,yes,available for 1.22 (installs on update),sortablestorage,available,3.0.0
Stone Bake Oven,https://mods.vintagestory.at/stonebakeoven,Food,1.22,yes,available for 1.22 (installs on update),stonebakeoven,available,1.3.5
Stone Railings,https://mods.vintagestory.at/stonerailings,Cosmetics,1.22,yes,available for 1.22 (installs on update),stonerailings,available,1.4.0
Tabletop Games,https://mods.vintagestory.at/tabletopgames,Utility,1.22,yes,available for 1.22 (installs on update),tabletopgames,available,4.0.0-pre.2
"Tankards, Goblets and More!",https://mods.vintagestory.at/tankardsandgoblets,Food,1.22,yes,available for 1.22 (installs on update),tankardsandgoblets,available,1.4.4
Translocator Engineering - Redux,https://mods.vintagestory.at/translocatorengineeringredux,Technology,1.22,yes,available for 1.22 (installs on update),translocatorengineeringredux,available,1.6.6
VS Roofing Mod,https://mods.vintagestory.at/show/mod/30143,Utility,1.22,yes,available for 1.22 (installs on update),vsroofing,available,1.6.2
Weapon Pack Alpha (quenchable),https://mods.vintagestory.at/show/mod/6522,Weapons,1.22,yes,"custom 1.9.0 build — quenching, tempering and sharpening added",weaponpackalphaunoff,available,1.9.0
Window Storage,https://mods.vintagestory.at/windowstorage,Storage,1.22,yes,available for 1.22 (installs on update),windowstorage,available,1.8.25
Tailor's Delight,https://mods.vintagestory.at/tailorsdelight,Cosmetics,1.22,yes,available for 1.22 (installs on update),tailorsdelight,available,2.2.2
Cartwright´s Caravan,https://mods.vintagestory.at/cartwrightscaravan,Storage,1.22,yes,available for 1.22 (installs on update),cartwrightscaravan,available,1.9.1
Chiseled Block Retention,https://mods.vintagestory.at/cbr,QoL,1.22,yes,available for 1.22 (installs on update),cbr,available,2.0.1
Expanded Foods: Core 2.0.0-dev,https://mods.vintagestory.at/expandedfoods,Utility,1.22,yes,available for 1.22 (installs on update),expandedfoods,available,2.0.0-dev.12
A Culinary Artillery 2.0.0-dev,https://mods.vintagestory.at/aculinaryartillery,Technology,1.22,yes,available for 1.22 (installs on update),aculinaryartillery,available,2.0.0-dev.21
Spyglass,https://mods.vintagestory.at/spyglass,Technology,1.22,yes,available for 1.22 (installs on update),spyglass,available,0.6.1
